stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1269,,"ELLIOT RD & PRICE RD",,  33.349205,-111.892502
127,,"BROADWAY RD & 12TH ST",,  33.406494,-112.055008
1270,,"ELLIOT RD & WILLIAM DILLARD DR",,  33.349644,-111.830505
1271,,"ELLIOT RD & 48TH ST",,  33.348862,-111.980804
1272,,"ELLIOT RD & CAMBRIDGE ST",,  33.349743,-111.812805
1273,,"ELLIOT RD & CATALINA ST",,  33.349873,-111.794205
1274,,"ELLIOT RD & COOPER RD",,  33.349789,-111.806313
1275,,"ELLIOT RD & HARDY DR",,  33.349072,-111.953300
1276,,"ELLIOT RD & ISLAND DR",,  33.349697,-111.819702
1277,,"ELLIOT RD & MADERA PARC DR",,  33.349808,-111.802208
1278,,"ELLIOT RD & MCQUEEN RD",,  33.349667,-111.823708
1279,,"ELLIOT RD & NEELY ST",,  33.349865,-111.797806
128,,"BROADWAY RD & 14TH ST",,  33.406605,-112.050812
1280,,"ELLIOT RD & PRIEST DR",,  33.349026,-111.963135
1281,,"ELLIOT RD -- PRIEST DR & HARDY DR",,  33.349056,-111.958008
1282,,"ELLIOT RD & NEBRASKA ST",,  33.349636,-111.848213
129,,"BROADWAY RD & 16TH ST",,  33.406696,-112.046509
13,,"8TH ST & ALMA SCHOOL RD",,  33.429306,-111.855507
130,,"BROADWAY RD & 20TH ST",,  33.406727,-112.038216
1302,,"FILLMORE ST & 3RD AVE",,  33.454659,-112.077209
1304,,"FILLMORE ST & 6TH AVE",,  33.454678,-112.080826
1305,,"FILLMORE ST & CENTRAL AVE",,  33.454643,-112.074203
1306,,"FILLMORE ST & 4TH AVE",,  33.454670,-112.079208
1307,,"FRYE RD & ALMA SCHOOL RD",,  33.298710,-111.858299
1308,,"FRYE RD & CALIFORNIA ST",,  33.298813,-111.843300
1309,,"FRYE RD & FAIRVIEW ST",,  33.298752,-111.853699
131,,"BROADWAY RD & 22ND ST",,  33.406693,-112.033508
1310,,"FRYE RD & NEBRASKA ST",,  33.298779,-111.846695
1311,,"GLENDALE AVE & 11TH AVE",,  33.538292,-112.087006
1312,,"GLENDALE AVE & 15TH AVE",,  33.538425,-112.090897
1314,,"GLENDALE AVE & 17TH DR",,  33.538494,-112.095703
1315,,"GLENDALE AVE & 19TH AVE",,  33.538559,-112.098701
1316,,"GLENDALE AVE & 21ST AVE",,  33.538494,-112.103508
1317,,"GLENDALE AVE & 23RD AVE",,  33.538494,-112.107803
1318,,"GLENDALE AVE & 27TH AVE",,  33.538292,-112.116310
1319,,"GLENDALE AVE & 29TH DR",,  33.538292,-112.121506
